OBJECTID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,RPL_THEMES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,6,CALIFORNIA,CA,6037,Los Angeles,6037701304,0.1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,6,CALIFORNIA,CA,6037,Los Angeles,6037270100,0.1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,6,CALIFORNIA,CA,6037,Los Angeles,6037106645,0.1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,6,CALIFORNIA,CA,6037,Los Angeles,6037189102,0.1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,6,CALIFORNIA,CA,6037,Los Angeles,6037187300,0.1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,6,CALIFORNIA,CA,6037,Los Angeles,6037262706,0.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,6,CALIFORNIA,CA,6037,Los Angeles,6037106641,0.1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,6,CALIFORNIA,CA,6037,Los Angeles,6037310100,0.1234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,6,CALIFORNIA,CA,6037,Los Angeles,6037702202,0.1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,6,CALIFORNIA,CA,6037,Los Angeles,6037135203,0.1263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1114,6,CALIFORNIA,CA,6037,Los Angeles,6037700901,0.127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,6,CALIFORNIA,CA,6037,Los Angeles,6037274100,0.1273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,6,CALIFORNIA,CA,6037,Los Angeles,6037137104,0.1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,6,CALIFORNIA,CA,6037,Los Angeles,6037197410,0.1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,6,CALIFORNIA,CA,6037,Los Angeles,6037137302,0.1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,6,CALIFORNIA,CA,6037,Los Angeles,6037297000,0.1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,6,CALIFORNIA,CA,6037,Los Angeles,6037113211,0.1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,6,CALIFORNIA,CA,6037,Los Angeles,6037267402,0.1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,6,CALIFORNIA,CA,6037,Los Angeles,6037800101,0.1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
476,6,CALIFORNIA,CA,6037,Los Angeles,6037195902,0.1385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1143,6,CALIFORNIA,CA,6037,Los Angeles,6037800204,0.1393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,6,CALIFORNIA,CA,6037,Los Angeles,6037980031,0.1402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,6,CALIFORNIA,CA,6037,Los Angeles,6037267403,0.1409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,6,CALIFORNIA,CA,6037,Los Angeles,6037124500,0.1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,6,CALIFORNIA,CA,6037,Los Angeles,6037300301,0.1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,6,CALIFORNIA,CA,6037,Los Angeles,6037143901,0.1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,6,CALIFORNIA,CA,6037,Los Angeles,6037189300,0.1461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,6,CALIFORNIA,CA,6037,Los Angeles,6037620102,0.1493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,6,CALIFORNIA,CA,6037,Los Angeles,6037125402,0.1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,6,CALIFORNIA,CA,6037,Los Angeles,6037269907,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,6,CALIFORNIA,CA,6037,Los Angeles,6037311200,0.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,6,CALIFORNIA,CA,6037,Los Angeles,6037214502,0.1548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,6,CALIFORNIA,CA,6037,Los Angeles,6037265100,0.1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,6,CALIFORNIA,CA,6037,Los Angeles,6037189903,0.1552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1147,6,CALIFORNIA,CA,6037,Los Angeles,6037930101,0.1555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,6,CALIFORNIA,CA,6037,Los Angeles,6037206031,0.1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,6,CALIFORNIA,CA,6037,Los Angeles,6037141202,0.1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,6,CALIFORNIA,CA,6037,Los Angeles,6037620101,0.1615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,6,CALIFORNIA,CA,6037,Los Angeles,6037124600,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,6,CALIFORNIA,CA,6037,Los Angeles,6037271600,0.1649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,6,CALIFORNIA,CA,6037,Los Angeles,6037135202,0.1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
